"","dependent.var","independent.var","independent.var.value","dependent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"152","genre_chef_menage","group_pop","pdi","femme",0.0333333333333333,NA,-0.00508978658458554,0.0717564532512522,"admin1","nord"
"250","genre_chef_menage","group_pop","pdi","homme",0.966666666666667,NA,0.928243546748748,1.00508978658459,"admin1","nord"
"336","genre_chef_menage","group_pop","pop_local","femme",0.05,NA,0.0170127061646315,0.0829872938353684,"admin1","nord"
"432","genre_chef_menage","group_pop","pop_local","homme",0.95,NA,0.917012706164631,0.982987293835368,"admin1","nord"
"153","genre_chef_menage","group_pop","pdi","femme",0.114285714285714,NA,0.0254171526079088,0.20315427596352,"admin1","boucle_du_mouhoun"
"251","genre_chef_menage","group_pop","pdi","homme",0.885714285714286,NA,0.79684572403648,0.974582847392091,"admin1","boucle_du_mouhoun"
"337","genre_chef_menage","group_pop","pop_local","femme",0.0291970802919708,NA,0.0123897264699492,0.0460044341139924,"admin1","boucle_du_mouhoun"
"433","genre_chef_menage","group_pop","pop_local","homme",0.970802919708029,NA,0.953995565886007,0.987610273530051,"admin1","boucle_du_mouhoun"
"154","genre_chef_menage","group_pop","pdi","homme",1,NA,1,1,"admin1","hauts_bassins"
"252","genre_chef_menage","group_pop","pop_local","femme",0.0833333333333333,NA,0.0235291240691419,0.143137542597525,"admin1","hauts_bassins"
"338","genre_chef_menage","group_pop","pop_local","homme",0.916666666666667,NA,0.856862457402475,0.976470875930858,"admin1","hauts_bassins"
"155","genre_chef_menage","group_pop","pdi","femme",0.0126582278481013,NA,-0.00814800278565855,0.0334644584818611,"admin1","est"
"253","genre_chef_menage","group_pop","pdi","homme",0.987341772151899,NA,0.966535541518139,1.00814800278566,"admin1","est"
"339","genre_chef_menage","group_pop","pop_local","femme",0.0862068965517241,NA,0.0510097818780535,0.121404011225395,"admin1","est"
"434","genre_chef_menage","group_pop","pop_local","homme",0.913793103448276,NA,0.878595988774605,0.948990218121946,"admin1","est"
"156","genre_chef_menage","group_pop","pdi","homme",1,NA,1,1,"admin1","cascades"
"254","genre_chef_menage","group_pop","pop_local","femme",0.0645161290322581,NA,-0.0107045156657758,0.139736773730292,"admin1","cascades"
"340","genre_chef_menage","group_pop","pop_local","homme",0.935483870967742,NA,0.860263226269708,1.01070451566578,"admin1","cascades"
"157","genre_chef_menage","group_pop","pdi","homme",1,NA,1,1,"admin1","plateau_central"
"255","genre_chef_menage","group_pop","pop_local","femme",0.0606060606060606,NA,-0.00928242570301637,0.130494546915138,"admin1","plateau_central"
"341","genre_chef_menage","group_pop","pop_local","homme",0.939393939393939,NA,0.869505453084862,1.00928242570302,"admin1","plateau_central"
"158","genre_chef_menage","group_pop","pop_local","femme",0.105263157894737,NA,-0.0137176358351093,0.224243951624583,"admin1","centre_sud"
"256","genre_chef_menage","group_pop","pop_local","homme",0.894736842105263,NA,0.775756048375417,1.01371763583511,"admin1","centre_sud"
